,age,degree,gender,FY,race,tot_doll
90,Mid,MD,Female,2001,American Indian/Alaska Native,2752311.76
91,Early,MD-PhD,Female,2001,American Indian/Alaska Native,1217948.54
92,Mid,Other,Female,2001,American Indian/Alaska Native,126476.16
93,Early,PhD,Female,2001,American Indian/Alaska Native,1650409.32
94,Mid,PhD,Female,2001,American Indian/Alaska Native,3028458.12
95,Early,MD,Male,2001,American Indian/Alaska Native,1043881.93
96,Mid,MD,Male,2001,American Indian/Alaska Native,691568.26
97,Mid,MD-PhD,Male,2001,American Indian/Alaska Native,468894.34
98,Early,PhD,Male,2001,American Indian/Alaska Native,1208715.79
99,Mid,PhD,Male,2001,American Indian/Alaska Native,11048842.530000001
100,Mid,MD,Female,2002,American Indian/Alaska Native,2881942.71
101,Early,MD-PhD,Female,2002,American Indian/Alaska Native,1107452.47
102,Early,PhD,Female,2002,American Indian/Alaska Native,2137887.26
103,Mid,PhD,Female,2002,American Indian/Alaska Native,2366265.02
104,Early,MD,Male,2002,American Indian/Alaska Native,1405530.39
105,Mid,MD,Male,2002,American Indian/Alaska Native,687469.06
106,Mid,MD-PhD,Male,2002,American Indian/Alaska Native,578050.53
107,Early,PhD,Male,2002,American Indian/Alaska Native,844689.03
108,Mid,PhD,Male,2002,American Indian/Alaska Native,13178715.14
109,Early,MD,Female,2003,American Indian/Alaska Native,161484.26
110,Mid,MD,Female,2003,American Indian/Alaska Native,1983984.67
111,Early,MD-PhD,Female,2003,American Indian/Alaska Native,1120564.46
112,Early,PhD,Female,2003,American Indian/Alaska Native,2320723.89
113,Mid,PhD,Female,2003,American Indian/Alaska Native,1974304.3499999999
114,Early,MD,Male,2003,American Indian/Alaska Native,3205280.2800000003
115,Mid,MD,Male,2003,American Indian/Alaska Native,682078.6
116,Mid,MD-PhD,Male,2003,American Indian/Alaska Native,504464.67
117,Early,PhD,Male,2003,American Indian/Alaska Native,285410.97
118,Late,PhD,Male,2003,American Indian/Alaska Native,810556.11
119,Mid,PhD,Male,2003,American Indian/Alaska Native,13781566.89
120,Early,MD,Female,2004,American Indian/Alaska Native,110975.96
121,Late,MD,Female,2004,American Indian/Alaska Native,2054771.5
122,Mid,MD,Female,2004,American Indian/Alaska Native,146622.04
123,Early,MD-PhD,Female,2004,American Indian/Alaska Native,643225.76
124,Early,PhD,Female,2004,American Indian/Alaska Native,1121656.79
125,Mid,PhD,Female,2004,American Indian/Alaska Native,3883673.5
126,Early,MD,Male,2004,American Indian/Alaska Native,2695460.0199999996
127,Late,MD,Male,2004,American Indian/Alaska Native,909396.27
128,Mid,MD,Male,2004,American Indian/Alaska Native,327196.64
129,Early,MD-PhD,Male,2004,American Indian/Alaska Native,667936.91
130,Mid,MD-PhD,Male,2004,American Indian/Alaska Native,486345.28
131,Early,PhD,Male,2004,American Indian/Alaska Native,983882.41
132,Late,PhD,Male,2004,American Indian/Alaska Native,4288662.76
133,Mid,PhD,Male,2004,American Indian/Alaska Native,11465506.68
134,Early,MD,Female,2005,American Indian/Alaska Native,106820.17
135,Late,MD,Female,2005,American Indian/Alaska Native,1609794.64
136,Mid,MD,Female,2005,American Indian/Alaska Native,526345.43
137,Early,MD-PhD,Female,2005,American Indian/Alaska Native,459180.41
138,Mid,Other,Female,2005,American Indian/Alaska Native,300750.0
139,Early,PhD,Female,2005,American Indian/Alaska Native,948222.19
140,Mid,PhD,Female,2005,American Indian/Alaska Native,2798934.36
141,Early,MD,Male,2005,American Indian/Alaska Native,3113970.4699999997
142,Late,MD,Male,2005,American Indian/Alaska Native,816390.0
143,Early,MD-PhD,Male,2005,American Indian/Alaska Native,630211.22
144,Late,MD-PhD,Male,2005,American Indian/Alaska Native,468132.82
145,Early,PhD,Male,2005,American Indian/Alaska Native,891925.02
146,Late,PhD,Male,2005,American Indian/Alaska Native,3431440.01
147,Mid,PhD,Male,2005,American Indian/Alaska Native,10561775.81
148,Late,MD,Female,2006,American Indian/Alaska Native,1543030.2
149,Mid,MD,Female,2006,American Indian/Alaska Native,855557.17
150,Mid,Other,Female,2006,American Indian/Alaska Native,226564.31
151,Early,PhD,Female,2006,American Indian/Alaska Native,1823683.24
152,Mid,PhD,Female,2006,American Indian/Alaska Native,4782467.649999999
153,Early,MD,Male,2006,American Indian/Alaska Native,1330552.03
154,Late,MD,Male,2006,American Indian/Alaska Native,788259.18
155,Mid,MD,Male,2006,American Indian/Alaska Native,484560.92
156,Early,MD-PhD,Male,2006,American Indian/Alaska Native,503603.51
157,Late,MD-PhD,Male,2006,American Indian/Alaska Native,436905.49
158,Early,PhD,Male,2006,American Indian/Alaska Native,1198897.2
159,Late,PhD,Male,2006,American Indian/Alaska Native,7495723.48
160,Mid,PhD,Male,2006,American Indian/Alaska Native,5388362.15
161,Late,MD,Female,2007,American Indian/Alaska Native,1546376.5
162,Mid,MD,Female,2007,American Indian/Alaska Native,800379.9099999999
163,Early,MD-PhD,Female,2007,American Indian/Alaska Native,508988.96
164,Mid,Other,Female,2007,American Indian/Alaska Native,194072.0
165,Early,PhD,Female,2007,American Indian/Alaska Native,2138244.1
166,Late,PhD,Female,2007,American Indian/Alaska Native,615050.0
167,Mid,PhD,Female,2007,American Indian/Alaska Native,3750188.89
168,Early,MD,Male,2007,American Indian/Alaska Native,1234728.3900000001
169,Late,MD,Male,2007,American Indian/Alaska Native,648091.5
170,Mid,MD,Male,2007,American Indian/Alaska Native,1484082.45
171,Early,MD-PhD,Male,2007,American Indian/Alaska Native,573341.87
172,Late,MD-PhD,Male,2007,American Indian/Alaska Native,507238.66
173,Early,PhD,Male,2007,American Indian/Alaska Native,2738829.5
174,Late,PhD,Male,2007,American Indian/Alaska Native,5238011.78
175,Mid,PhD,Male,2007,American Indian/Alaska Native,4352441.06
176,Late,MD,Female,2008,American Indian/Alaska Native,1360776.98
177,Mid,MD,Female,2008,American Indian/Alaska Native,430224.16
178,Early,MD-PhD,Female,2008,American Indian/Alaska Native,476504.41
179,Early,PhD,Female,2008,American Indian/Alaska Native,2179053.72
180,Late,PhD,Female,2008,American Indian/Alaska Native,668047.09
181,Mid,PhD,Female,2008,American Indian/Alaska Native,2905082.73
182,Early,MD,Male,2008,American Indian/Alaska Native,644863.8500000001
183,Late,MD,Male,2008,American Indian/Alaska Native,496702.7
184,Mid,MD,Male,2008,American Indian/Alaska Native,2456762.87
185,Early,MD-PhD,Male,2008,American Indian/Alaska Native,547704.29
186,Late,MD-PhD,Male,2008,American Indian/Alaska Native,452932.44
187,Early,Other,Male,2008,American Indian/Alaska Native,52033.9
188,Early,PhD,Male,2008,American Indian/Alaska Native,2972630.89
189,Late,PhD,Male,2008,American Indian/Alaska Native,4392725.9
190,Mid,PhD,Male,2008,American Indian/Alaska Native,3274237.05
191,Late,MD,Female,2009,American Indian/Alaska Native,794164.77
192,Mid,MD,Female,2009,American Indian/Alaska Native,779314.36
193,Early,MD-PhD,Female,2009,American Indian/Alaska Native,878753.94
194,Mid,MD-PhD,Female,2009,American Indian/Alaska Native,472399.27
195,Early,PhD,Female,2009,American Indian/Alaska Native,2613177.73
196,Late,PhD,Female,2009,American Indian/Alaska Native,1177033.9100000001
197,Mid,PhD,Female,2009,American Indian/Alaska Native,2362717.95
198,Early,MD,Male,2009,American Indian/Alaska Native,1955143.98
199,Mid,MD,Male,2009,American Indian/Alaska Native,2303873.44
200,Early,MD-PhD,Male,2009,American Indian/Alaska Native,532126.05
201,Late,MD-PhD,Male,2009,American Indian/Alaska Native,916183.22
202,Early,Other,Male,2009,American Indian/Alaska Native,50553.91
203,Early,PhD,Male,2009,American Indian/Alaska Native,2944841.41
204,Late,PhD,Male,2009,American Indian/Alaska Native,3649184.66
205,Mid,PhD,Male,2009,American Indian/Alaska Native,3421203.72
206,Mid,MD,Female,2010,American Indian/Alaska Native,346894.92
207,Early,MD-PhD,Female,2010,American Indian/Alaska Native,930410.98
208,Mid,MD-PhD,Female,2010,American Indian/Alaska Native,458457.58
209,Early,PhD,Female,2010,American Indian/Alaska Native,1556162.2
210,Late,PhD,Female,2010,American Indian/Alaska Native,1077254.55
211,Mid,PhD,Female,2010,American Indian/Alaska Native,2640349.13
212,Early,MD,Male,2010,American Indian/Alaska Native,743685.55
213,Mid,MD,Male,2010,American Indian/Alaska Native,1957693.35
214,Early,MD-PhD,Male,2010,American Indian/Alaska Native,516421.67
215,Late,MD-PhD,Male,2010,American Indian/Alaska Native,889150.41
216,Early,PhD,Male,2010,American Indian/Alaska Native,2883310.43
217,Late,PhD,Male,2010,American Indian/Alaska Native,4702730.41
218,Mid,PhD,Male,2010,American Indian/Alaska Native,1571244.27
219,Mid,MD,Female,2011,American Indian/Alaska Native,322255.71
220,Early,MD-PhD,Female,2011,American Indian/Alaska Native,884694.71
221,Mid,MD-PhD,Female,2011,American Indian/Alaska Native,445705.93
222,Early,Other,Female,2011,American Indian/Alaska Native,26777.75
223,Early,PhD,Female,2011,American Indian/Alaska Native,888912.8500000001
224,Mid,PhD,Female,2011,American Indian/Alaska Native,1856057.54
225,Early,MD,Male,2011,American Indian/Alaska Native,1450212.07
226,Mid,MD,Male,2011,American Indian/Alaska Native,681455.1699999999
227,Late,MD-PhD,Male,2011,American Indian/Alaska Native,779810.17
228,Mid,MD-PhD,Male,2011,American Indian/Alaska Native,502057.79
229,Early,PhD,Male,2011,American Indian/Alaska Native,1677853.6300000001
230,Late,PhD,Male,2011,American Indian/Alaska Native,4179752.36
231,Mid,PhD,Male,2011,American Indian/Alaska Native,2095765.34
232,Early,MD,Female,2012,American Indian/Alaska Native,209520.44
233,Early,MD-PhD,Female,2012,American Indian/Alaska Native,1341258.19
234,Early,Other,Female,2012,American Indian/Alaska Native,25953.27
235,Early,PhD,Female,2012,American Indian/Alaska Native,752234.89
236,Mid,PhD,Female,2012,American Indian/Alaska Native,2009271.35
237,Early,MD,Male,2012,American Indian/Alaska Native,917538.78
238,Mid,MD,Male,2012,American Indian/Alaska Native,805341.36
239,Early,PhD,Male,2012,American Indian/Alaska Native,1641341.92
240,Late,PhD,Male,2012,American Indian/Alaska Native,3452358.6799999997
241,Mid,PhD,Male,2012,American Indian/Alaska Native,1911554.55
242,Early,MD,Female,2013,American Indian/Alaska Native,191663.16
243,Mid,MD-PhD,Female,2013,American Indian/Alaska Native,1172851.22
244,Early,PhD,Female,2013,American Indian/Alaska Native,2001746.4100000001
245,Late,PhD,Female,2013,American Indian/Alaska Native,456688.78
246,Mid,PhD,Female,2013,American Indian/Alaska Native,2303572.46
247,Early,MD,Male,2013,American Indian/Alaska Native,1861500.8800000001
248,Late,MD,Male,2013,American Indian/Alaska Native,127235.69
249,Mid,MD,Male,2013,American Indian/Alaska Native,1328737.71
250,Early,MD-PhD,Male,2013,American Indian/Alaska Native,260580.62
251,Early,PhD,Male,2013,American Indian/Alaska Native,3183336.09
252,Late,PhD,Male,2013,American Indian/Alaska Native,2114054.88
253,Mid,PhD,Male,2013,American Indian/Alaska Native,2004872.3
254,Mid,MD-PhD,Female,2014,American Indian/Alaska Native,1344019.38
255,Early,PhD,Female,2014,American Indian/Alaska Native,1968061.44
256,Late,PhD,Female,2014,American Indian/Alaska Native,1665138.0
257,Mid,PhD,Female,2014,American Indian/Alaska Native,3529880.75
258,Early,MD,Male,2014,American Indian/Alaska Native,427009.0
259,Late,MD,Male,2014,American Indian/Alaska Native,120856.37
260,Mid,MD,Male,2014,American Indian/Alaska Native,1725697.15
261,Early,MD-PhD,Male,2014,American Indian/Alaska Native,869348.94
262,Mid,MD-PhD,Male,2014,American Indian/Alaska Native,206628.83
263,Early,PhD,Male,2014,American Indian/Alaska Native,4345446.63
264,Late,PhD,Male,2014,American Indian/Alaska Native,4018366.1399999997
265,Mid,PhD,Male,2014,American Indian/Alaska Native,2545784.33
266,Late,MD,Female,2015,American Indian/Alaska Native,1100361.7
267,Mid,MD-PhD,Female,2015,American Indian/Alaska Native,953055.43
268,Early,PhD,Female,2015,American Indian/Alaska Native,2422497.66
269,Late,PhD,Female,2015,American Indian/Alaska Native,1324368.52
270,Mid,PhD,Female,2015,American Indian/Alaska Native,4380937.76
271,Early,MD,Male,2015,American Indian/Alaska Native,372089.35
272,Late,MD,Male,2015,American Indian/Alaska Native,118447.15
273,Mid,MD,Male,2015,American Indian/Alaska Native,3440513.8
274,Early,MD-PhD,Male,2015,American Indian/Alaska Native,797972.89
275,Mid,MD-PhD,Male,2015,American Indian/Alaska Native,228381.28
276,Early,PhD,Male,2015,American Indian/Alaska Native,3482524.64
277,Late,PhD,Male,2015,American Indian/Alaska Native,3505409.0700000003
278,Mid,PhD,Male,2015,American Indian/Alaska Native,3352887.35
279,Early,MD,Female,2016,American Indian/Alaska Native,709021.9199999999
280,Late,MD,Female,2016,American Indian/Alaska Native,1118895.5
281,Mid,MD-PhD,Female,2016,American Indian/Alaska Native,932776.86
282,Early,PhD,Female,2016,American Indian/Alaska Native,3222458.22
283,Late,PhD,Female,2016,American Indian/Alaska Native,2268733.54
284,Mid,PhD,Female,2016,American Indian/Alaska Native,4457156.96
285,Early,MD,Male,2016,American Indian/Alaska Native,369569.88
286,Late,MD,Male,2016,American Indian/Alaska Native,115926.9
287,Mid,MD,Male,2016,American Indian/Alaska Native,3322636.98
288,Early,MD-PhD,Male,2016,American Indian/Alaska Native,569664.48
289,Mid,MD-PhD,Male,2016,American Indian/Alaska Native,232552.33
290,Early,PhD,Male,2016,American Indian/Alaska Native,4030357.24
291,Late,PhD,Male,2016,American Indian/Alaska Native,3632488.0700000003
292,Mid,PhD,Male,2016,American Indian/Alaska Native,3668712.25
293,Early,MD,Female,2017,American Indian/Alaska Native,704933.76
294,Late,MD,Female,2017,American Indian/Alaska Native,1115958.13
295,Mid,MD-PhD,Female,2017,American Indian/Alaska Native,962981.69
296,Early,PhD,Female,2017,American Indian/Alaska Native,3465161.0
297,Late,PhD,Female,2017,American Indian/Alaska Native,5042414.87
298,Mid,PhD,Female,2017,American Indian/Alaska Native,3723059.2600000002
299,Early,MD,Male,2017,American Indian/Alaska Native,401418.99
300,Late,MD,Male,2017,American Indian/Alaska Native,343044.83999999997
301,Mid,MD,Male,2017,American Indian/Alaska Native,2573381.0300000003
302,Early,MD-PhD,Male,2017,American Indian/Alaska Native,366317.88
303,Mid,MD-PhD,Male,2017,American Indian/Alaska Native,227836.64
304,Early,PhD,Male,2017,American Indian/Alaska Native,4624562.85
305,Late,PhD,Male,2017,American Indian/Alaska Native,12650334.93
306,Mid,PhD,Male,2017,American Indian/Alaska Native,318187.9
307,Early,MD,Female,2018,American Indian/Alaska Native,435251.97
308,Late,MD,Female,2018,American Indian/Alaska Native,1141034.05
309,Mid,MD-PhD,Female,2018,American Indian/Alaska Native,1307164.06
310,Mid,Other,Female,2018,American Indian/Alaska Native,250669.81
311,Early,PhD,Female,2018,American Indian/Alaska Native,3500473.16
312,Late,PhD,Female,2018,American Indian/Alaska Native,716838.22
313,Mid,PhD,Female,2018,American Indian/Alaska Native,4197586.21
314,Early,MD,Male,2018,American Indian/Alaska Native,356750.21
315,Late,MD,Male,2018,American Indian/Alaska Native,26969.87
316,Mid,MD,Male,2018,American Indian/Alaska Native,1604333.88
317,Early,MD-PhD,Male,2018,American Indian/Alaska Native,357401.71
318,Late,MD-PhD,Male,2018,American Indian/Alaska Native,125804.72
319,Mid,MD-PhD,Male,2018,American Indian/Alaska Native,222291.1
320,Early,PhD,Male,2018,American Indian/Alaska Native,3295279.98
321,Late,PhD,Male,2018,American Indian/Alaska Native,6092117.84
322,Mid,PhD,Male,2018,American Indian/Alaska Native,2645962.7800000003
323,Early,MD,Female,2019,American Indian/Alaska Native,329400.92
324,Late,MD,Female,2019,American Indian/Alaska Native,1332990.69
325,Mid,MD-PhD,Female,2019,American Indian/Alaska Native,722879.83
326,Mid,Other,Female,2019,American Indian/Alaska Native,351571.42
327,Early,PhD,Female,2019,American Indian/Alaska Native,4577089.08
328,Late,PhD,Female,2019,American Indian/Alaska Native,2321581.12
329,Mid,PhD,Female,2019,American Indian/Alaska Native,3547710.5
330,Early,MD,Male,2019,American Indian/Alaska Native,350454.92
331,Late,MD,Male,2019,American Indian/Alaska Native,217466.28
332,Mid,MD,Male,2019,American Indian/Alaska Native,4255381.16
333,Late,MD-PhD,Male,2019,American Indian/Alaska Native,118199.31
334,Mid,MD-PhD,Male,2019,American Indian/Alaska Native,458771.39
335,Early,Other,Male,2019,American Indian/Alaska Native,202159.95
336,Early,PhD,Male,2019,American Indian/Alaska Native,7774884.33
337,Late,PhD,Male,2019,American Indian/Alaska Native,7328580.75
338,Mid,PhD,Male,2019,American Indian/Alaska Native,3186300.24
339,Early,MD,Female,2020,American Indian/Alaska Native,326398.19
340,Late,MD,Female,2020,American Indian/Alaska Native,599861.26
341,Mid,MD,Female,2020,American Indian/Alaska Native,160679.65
342,Early,MD-PhD,Female,2020,American Indian/Alaska Native,164386.22
343,Mid,MD-PhD,Female,2020,American Indian/Alaska Native,539501.79
344,Mid,Other,Female,2020,American Indian/Alaska Native,321126.02
345,Early,PhD,Female,2020,American Indian/Alaska Native,4582798.4
346,Late,PhD,Female,2020,American Indian/Alaska Native,3112503.61
347,Mid,PhD,Female,2020,American Indian/Alaska Native,3761993.73
348,Early,MD,Male,2020,American Indian/Alaska Native,842339.6000000001
349,Late,MD,Male,2020,American Indian/Alaska Native,80679.18
350,Mid,MD,Male,2020,American Indian/Alaska Native,3877324.1100000003
351,Late,MD-PhD,Male,2020,American Indian/Alaska Native,116349.35
352,Mid,MD-PhD,Male,2020,American Indian/Alaska Native,171680.24
353,Early,Other,Male,2020,American Indian/Alaska Native,199973.38
354,Early,PhD,Male,2020,American Indian/Alaska Native,4944318.81
355,Late,PhD,Male,2020,American Indian/Alaska Native,3405566.84
356,Mid,PhD,Male,2020,American Indian/Alaska Native,4203131.2
357,Early,MD,Female,1985,Asian,1930137.1400000001
358,Early,MD-PhD,Female,1985,Asian,828554.91
359,Early,PhD,Female,1985,Asian,17664739.97
360,Mid,PhD,Female,1985,Asian,4589600.55
361,Early,MD,Male,1985,Asian,12218263.73
362,Mid,MD,Male,1985,Asian,6816978.15
363,Early,MD-PhD,Male,1985,Asian,10059019.72
364,Late,MD-PhD,Male,1985,Asian,2045701.69
365,Mid,MD-PhD,Male,1985,Asian,17341270.48
366,Early,Other,Male,1985,Asian,840211.21
367,Early,PhD,Male,1985,Asian,90337883.11
368,Late,PhD,Male,1985,Asian,2428441.73
369,Mid,PhD,Male,1985,Asian,42816115.74
370,Early,MD,Female,1986,Asian,1821956.21
371,Early,MD-PhD,Female,1986,Asian,722973.55
372,Mid,MD-PhD,Female,1986,Asian,809273.46
373,Early,PhD,Female,1986,Asian,20778343.89
374,Mid,PhD,Female,1986,Asian,4981059.0
375,Early,MD,Male,1986,Asian,10759595.290000001
376,Mid,MD,Male,1986,Asian,10077850.65
377,Early,MD-PhD,Male,1986,Asian,10202968.67
378,Late,MD-PhD,Male,1986,Asian,1795094.94
379,Mid,MD-PhD,Male,1986,Asian,17190382.849999998
380,Early,Other,Male,1986,Asian,439617.32
381,Mid,Other,Male,1986,Asian,315227.07
382,Early,PhD,Male,1986,Asian,95032502.08
383,Late,PhD,Male,1986,Asian,2197498.29
384,Mid,PhD,Male,1986,Asian,53754464.14
385,Early,MD,Female,1987,Asian,3719860.07
386,Mid,MD,Female,1987,Asian,498356.51
387,Early,MD-PhD,Female,1987,Asian,802818.63
388,Mid,MD-PhD,Female,1987,Asian,850417.01
389,Early,PhD,Female,1987,Asian,23449755.18
390,Mid,PhD,Female,1987,Asian,6726251.05
391,Early,MD,Male,1987,Asian,13592095.81
392,Mid,MD,Male,1987,Asian,13095898.54
393,Early,MD-PhD,Male,1987,Asian,12961800.84
394,Late,MD-PhD,Male,1987,Asian,3192281.77
395,Mid,MD-PhD,Male,1987,Asian,17425290.31
396,Early,Other,Male,1987,Asian,318356.13
397,Mid,Other,Male,1987,Asian,466160.74
398,Early,PhD,Male,1987,Asian,110298853.26
399,Late,PhD,Male,1987,Asian,3130009.16
400,Mid,PhD,Male,1987,Asian,58920318.32
401,Early,MD,Female,1988,Asian,2992909.18
402,Mid,MD,Female,1988,Asian,968963.4099999999
403,Early,MD-PhD,Female,1988,Asian,246997.44
404,Mid,MD-PhD,Female,1988,Asian,760811.02
405,Early,PhD,Female,1988,Asian,24444933.61
406,Mid,PhD,Female,1988,Asian,9393927.43
407,Early,MD,Male,1988,Asian,15670665.61
408,Mid,MD,Male,1988,Asian,13092800.14
409,Early,MD-PhD,Male,1988,Asian,10907853.93
410,Late,MD-PhD,Male,1988,Asian,5812442.53
411,Mid,MD-PhD,Male,1988,Asian,10541017.75
412,Early,Other,Male,1988,Asian,877850.6499999999
413,Mid,Other,Male,1988,Asian,419997.64
414,Early,PhD,Male,1988,Asian,112630689.61
415,Late,PhD,Male,1988,Asian,6852439.58
416,Mid,PhD,Male,1988,Asian,73961319.67
417,Early,MD,Female,1989,Asian,5294837.09
418,Mid,MD,Female,1989,Asian,1465716.26
419,Early,MD-PhD,Female,1989,Asian,504091.62
420,Mid,MD-PhD,Female,1989,Asian,756855.4099999999
421,Early,PhD,Female,1989,Asian,27792149.490000002
422,Mid,PhD,Female,1989,Asian,9918399.01
423,Early,MD,Male,1989,Asian,19440032.25
424,Mid,MD,Male,1989,Asian,12634106.09
425,Early,MD-PhD,Male,1989,Asian,10849782.06
426,Late,MD-PhD,Male,1989,Asian,5342792.5600000005
427,Mid,MD-PhD,Male,1989,Asian,16897924.99
428,Early,Other,Male,1989,Asian,866094.1599999999
429,Mid,Other,Male,1989,Asian,373547.72
430,Early,PhD,Male,1989,Asian,112739484.77
431,Late,PhD,Male,1989,Asian,7202222.82
432,Mid,PhD,Male,1989,Asian,85439373.5
433,Early,MD,Female,1990,Asian,7198627.449999999
