,INSTITUTION TYPE,FUNDING MECHANISM,YEAR,CODE,FUNDING
71,Research Institutes,Research Centers,2012.0,AL,5247612.0
72,Domestic Higher Education,Training - Individual,2012.0,AL,38587.0
73,None,Training - Individual,2012.0,AL,40050.17391304348
74,Domestic Higher Education,Training - Institutional,2012.0,AL,202664.0
75,None,Training - Institutional,2012.0,AL,215213.77049180327
76,Domestic Higher Education,Other Research-Related,2013.0,AL,251985.875
77,None,Other Research-Related,2013.0,AL,236871.875
78,Research Institutes,Other Research-Related,2013.0,AL,136905.66666666666
79,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,AL,332097.4137931034
80,None,RPGs - Non SBIR/STTR,2013.0,AL,382301.73630136985
81,Research Institutes,RPGs - Non SBIR/STTR,2013.0,AL,1435834.0
82,None,RPGs - SBIR/STTR,2013.0,AL,384067.41891891893
83,Domestic Higher Education,Research Centers,2013.0,AL,1175342.0
84,None,Research Centers,2013.0,AL,1273333.1666666667
85,Research Institutes,Research Centers,2013.0,AL,1877345.0
86,Domestic Higher Education,Training - Individual,2013.0,AL,52190.0
87,None,Training - Individual,2013.0,AL,37632.0
88,Domestic Higher Education,Training - Institutional,2013.0,AL,202664.0
89,None,Training - Institutional,2013.0,AL,236360.52136752137
90,Domestic Higher Education,Other Research-Related,2014.0,AL,261285.1
91,None,Other Research-Related,2014.0,AL,245492.93593314764
92,Research Institutes,Other Research-Related,2014.0,AL,175479.0
93,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,AL,370822.77777777775
94,None,RPGs - Non SBIR/STTR,2014.0,AL,484024.31737346103
95,Research Institutes,RPGs - Non SBIR/STTR,2014.0,AL,1863766.0
96,None,RPGs - SBIR/STTR,2014.0,AL,308687.75
97,Domestic Higher Education,Research Centers,2014.0,AL,1106344.0
98,None,Research Centers,2014.0,AL,1055276.349206349
99,Research Institutes,Research Centers,2014.0,AL,3483414.0
100,None,Training - Individual,2014.0,AL,35450.8
101,None,Training - Institutional,2014.0,AL,250841.6551724138
102,Domestic Higher Education,Other Research-Related,2015.0,AL,201107.38461538462
103,None,Other Research-Related,2015.0,AL,240711.48091603053
104,Research Institutes,Other Research-Related,2015.0,AL,118294.5
105,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,AL,649828.5614035088
106,None,RPGs - Non SBIR/STTR,2015.0,AL,493225.5749822317
107,Research Institutes,RPGs - Non SBIR/STTR,2015.0,AL,740610.5
108,None,RPGs - SBIR/STTR,2015.0,AL,335536.3103448276
109,Domestic Higher Education,Research Centers,2015.0,AL,1239204.0
110,None,Research Centers,2015.0,AL,1133291.175141243
111,Research Institutes,Research Centers,2015.0,AL,3465641.0
112,Domestic Higher Education,Training - Individual,2015.0,AL,33512.0
113,None,Training - Individual,2015.0,AL,37618.32142857143
114,Domestic Higher Education,Training - Institutional,2015.0,AL,209218.0
115,None,Training - Institutional,2015.0,AL,254424.08695652173
116,Domestic Higher Education,Other,2016.0,AL,314942.0
117,Domestic Higher Education,Other Research-Related,2016.0,AL,251870.18847006653
118,None,Other Research-Related,2016.0,AL,365102.5
119,Research Institutes,Other Research-Related,2016.0,AL,2134067.6666666665
120,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,AL,450876.1872682324
121,Research Institutes,RPGs - Non SBIR/STTR,2016.0,AL,683301.6222222223
122,None,RPGs - SBIR/STTR,2016.0,AL,365035.60655737703
123,Domestic Higher Education,Research Centers,2016.0,AL,1001166.9494949495
124,None,Research Centers,2016.0,AL,1581887.0
125,Research Institutes,Research Centers,2016.0,AL,1502651.0
126,Domestic Higher Education,Training - Individual,2016.0,AL,37936.93548387097
127,Domestic Higher Education,Training - Institutional,2016.0,AL,263859.2698412698
128,Domestic Higher Education,Other,2017.0,AL,2167842.5
129,Domestic Higher Education,Other Research-Related,2017.0,AL,257542.94847775175
130,None,Other Research-Related,2017.0,AL,636281.0
131,Research Institutes,Other Research-Related,2017.0,AL,2533558.3333333335
132,Domestic Higher Education,RPGs - Non SBIR/STTR,2017.0,AL,489489.4940138626
133,Research Institutes,RPGs - Non SBIR/STTR,2017.0,AL,1081266.8653846155
134,None,RPGs - SBIR/STTR,2017.0,AL,410137.3278688525
135,Domestic Higher Education,Research Centers,2017.0,AL,1072033.5
136,None,Research Centers,2017.0,AL,3000000.0
137,Domestic Higher Education,Training - Individual,2017.0,AL,38262.794117647056
138,Domestic Higher Education,Training - Institutional,2017.0,AL,198843.98757763975
139,Domestic Higher Education,Other,2018.0,AL,6143879.0
140,Domestic Higher Education,Other Research-Related,2018.0,AL,257959.2842639594
141,None,Other Research-Related,2018.0,AL,671468.0
142,Research Institutes,Other Research-Related,2018.0,AL,1237382.8
143,Domestic Higher Education,RPGs - Non SBIR/STTR,2018.0,AL,526308.4782135077
144,None,RPGs - Non SBIR/STTR,2018.0,AL,277277.0
145,Research Institutes,RPGs - Non SBIR/STTR,2018.0,AL,1167747.5636363637
146,None,RPGs - SBIR/STTR,2018.0,AL,310510.1212121212
147,Domestic Higher Education,Research Centers,2018.0,AL,1187170.1
148,Domestic Higher Education,Training - Individual,2018.0,AL,39734.783625731
149,Domestic Higher Education,Training - Institutional,2018.0,AL,253222.3788819876
150,Domestic Higher Education,Other,2019.0,AL,6505774.666666667
151,Research Institutes,Other,2019.0,AL,6999491.0
152,Domestic Higher Education,Other Research-Related,2019.0,AL,252980.89770354907
153,None,Other Research-Related,2019.0,AL,671468.0
154,Research Institutes,Other Research-Related,2019.0,AL,2848716.5
155,Domestic Higher Education,RPGs - Non SBIR/STTR,2019.0,AL,485982.12242849974
156,Research Institutes,RPGs - Non SBIR/STTR,2019.0,AL,1012902.4153846154
157,None,RPGs - SBIR/STTR,2019.0,AL,411841.14285714284
158,Domestic Higher Education,Research Centers,2019.0,AL,1184256.925
159,Domestic Higher Education,Training - Individual,2019.0,AL,41456.24064171123
160,Domestic Higher Education,Training - Institutional,2019.0,AL,284210.57692307694
161,Domestic Higher Education,Other,2020.0,AL,4482835.5
162,Domestic Higher Education,Other Research-Related,2020.0,AL,280023.3294663573
163,None,Other Research-Related,2020.0,AL,304003.0
164,Research Institutes,Other Research-Related,2020.0,AL,1647164.4242424243
165,Domestic Higher Education,RPGs - Non SBIR/STTR,2020.0,AL,509146.1964285714
166,Research Institutes,RPGs - Non SBIR/STTR,2020.0,AL,951772.4358974359
167,None,RPGs - SBIR/STTR,2020.0,AL,362436.73529411765
168,Domestic Higher Education,Research Centers,2020.0,AL,1153225.7333333334
169,Domestic Higher Education,Training - Individual,2020.0,AL,40692.97461928934
170,Domestic Higher Education,Training - Institutional,2020.0,AL,305709.5833333333
171,Domestic Higher Education,Other,2021.0,AL,5344778.0
172,Domestic Higher Education,Other Research-Related,2021.0,AL,313036.01836734696
173,None,Other Research-Related,2021.0,AL,712010.0
174,Research Institutes,Other Research-Related,2021.0,AL,2203770.653846154
175,Domestic Higher Education,RPGs - Non SBIR/STTR,2021.0,AL,473854.8330683625
176,None,RPGs - Non SBIR/STTR,2021.0,AL,327876.5
177,Research Institutes,RPGs - Non SBIR/STTR,2021.0,AL,886086.5434782609
178,None,RPGs - SBIR/STTR,2021.0,AL,437608.06451612903
179,Domestic Higher Education,Research Centers,2021.0,AL,1466943.0606060605
180,Domestic Higher Education,Training - Individual,2021.0,AL,40237.67857142857
181,Research Institutes,Training - Individual,2021.0,AL,42792.0
182,Domestic Higher Education,Training - Institutional,2021.0,AL,288588.13157894736
183,None,Other Research-Related,2012.0,AR,253129.13725490196
184,Research Institutes,Other Research-Related,2012.0,AR,131085.0
185,None,RPGs - Non SBIR/STTR,2012.0,AR,363774.85141509434
186,Research Institutes,RPGs - Non SBIR/STTR,2012.0,AR,481063.3333333333
187,None,RPGs - SBIR/STTR,2012.0,AR,221189.74074074073
188,None,Research Centers,2012.0,AR,1877409.024390244
189,None,Training - Individual,2012.0,AR,35752.70491803279
190,None,Training - Institutional,2012.0,AR,238480.5
191,None,Other Research-Related,2013.0,AR,162023.42857142858
192,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,AR,303356.4285714286
193,None,RPGs - Non SBIR/STTR,2013.0,AR,352510.4027303754
194,Research Institutes,RPGs - Non SBIR/STTR,2013.0,AR,432658.55555555556
195,None,RPGs - SBIR/STTR,2013.0,AR,271436.2162162162
196,None,Research Centers,2013.0,AR,1619287.0
197,None,Training - Individual,2013.0,AR,37809.5
198,None,Training - Institutional,2013.0,AR,179614.66666666666
199,Domestic Higher Education,Other Research-Related,2014.0,AR,249434.4
200,None,Other Research-Related,2014.0,AR,250320.0
201,Research Institutes,Other Research-Related,2014.0,AR,118854.0
202,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,AR,293528.7687296417
203,Research Institutes,RPGs - Non SBIR/STTR,2014.0,AR,949084.875
204,None,RPGs - SBIR/STTR,2014.0,AR,202540.75294117647
205,Domestic Higher Education,Research Centers,2014.0,AR,1326513.0392156863
206,Domestic Higher Education,Training - Individual,2014.0,AR,35952.85106382979
207,Domestic Higher Education,Training - Institutional,2014.0,AR,168672.66666666666
208,Domestic Higher Education,Other Research-Related,2015.0,AR,341623.5483870968
209,None,Other Research-Related,2015.0,AR,125676.5
210,Research Institutes,Other Research-Related,2015.0,AR,75303.0
211,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,AR,306769.0745762712
212,Research Institutes,RPGs - Non SBIR/STTR,2015.0,AR,881534.5
213,None,RPGs - SBIR/STTR,2015.0,AR,415843.8888888889
214,Domestic Higher Education,Research Centers,2015.0,AR,1627792.4285714286
215,Domestic Higher Education,Training - Individual,2015.0,AR,32548.5
216,Domestic Higher Education,Training - Institutional,2015.0,AR,130073.25
217,Domestic Higher Education,Other Research-Related,2016.0,AR,5931681.388888889
218,None,Other Research-Related,2016.0,AR,243353.0
219,Research Institutes,Other Research-Related,2016.0,AR,721955.3333333334
220,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,AR,356597.75136612024
221,Research Institutes,RPGs - Non SBIR/STTR,2016.0,AR,1543687.0
222,None,RPGs - SBIR/STTR,2016.0,AR,348663.64
223,Domestic Higher Education,Research Centers,2016.0,AR,1250572.5555555555
224,Research Institutes,Research Centers,2016.0,AR,1873566.0
225,Domestic Higher Education,Training - Individual,2016.0,AR,32676.0
226,Domestic Higher Education,Training - Institutional,2016.0,AR,177451.5
227,Domestic Higher Education,Other Research-Related,2017.0,AR,350092.4193548387
228,None,Other Research-Related,2017.0,AR,6000.0
229,Research Institutes,Other Research-Related,2017.0,AR,164025.0
230,Domestic Higher Education,RPGs - Non SBIR/STTR,2017.0,AR,354881.0029761905
231,Research Institutes,RPGs - Non SBIR/STTR,2017.0,AR,962987.7142857143
232,None,RPGs - SBIR/STTR,2017.0,AR,338864.63265306124
233,Domestic Higher Education,Research Centers,2017.0,AR,1812909.375
234,Research Institutes,Research Centers,2017.0,AR,2082032.0
235,Domestic Higher Education,Training - Institutional,2017.0,AR,254592.0
236,Domestic Higher Education,Other Research-Related,2018.0,AR,398950.71428571426
237,Research Institutes,Other Research-Related,2018.0,AR,164025.0
238,Domestic Higher Education,RPGs - Non SBIR/STTR,2018.0,AR,356895.5589041096
239,None,RPGs - Non SBIR/STTR,2018.0,AR,323628.0
240,Research Institutes,RPGs - Non SBIR/STTR,2018.0,AR,761204.5
241,None,RPGs - SBIR/STTR,2018.0,AR,382458.50666666665
242,Domestic Higher Education,Research Centers,2018.0,AR,2104241.8333333335
243,Research Institutes,Research Centers,2018.0,AR,1986311.5
244,Domestic Higher Education,Training - Individual,2018.0,AR,34577.0
245,Domestic Higher Education,Training - Institutional,2018.0,AR,278031.0
246,Domestic Higher Education,Other Research-Related,2019.0,AR,372636.9
247,Research Institutes,Other Research-Related,2019.0,AR,193320.0
248,Domestic Higher Education,RPGs - Non SBIR/STTR,2019.0,AR,351007.7376237624
249,Research Institutes,RPGs - Non SBIR/STTR,2019.0,AR,542798.7777777778
250,None,RPGs - SBIR/STTR,2019.0,AR,432204.45945945947
251,Domestic Higher Education,Research Centers,2019.0,AR,2260975.0
252,Research Institutes,Research Centers,2019.0,AR,2091197.5
253,Domestic Higher Education,Training - Individual,2019.0,AR,44266.47619047619
254,Domestic Higher Education,Training - Institutional,2019.0,AR,237398.0
255,Domestic Higher Education,Other Research-Related,2020.0,AR,842080.0113636364
256,Research Institutes,Other Research-Related,2020.0,AR,307035.0
257,Domestic Higher Education,RPGs - Non SBIR/STTR,2020.0,AR,407787.94535519124
258,Research Institutes,RPGs - Non SBIR/STTR,2020.0,AR,834001.9
259,None,RPGs - SBIR/STTR,2020.0,AR,285256.93548387097
260,Domestic Higher Education,Research Centers,2020.0,AR,1565506.8181818181
261,Research Institutes,Research Centers,2020.0,AR,1478800.3333333333
262,Domestic Higher Education,Training - Individual,2020.0,AR,27054.0
263,Domestic Higher Education,Training - Institutional,2020.0,AR,246686.75
264,Domestic Higher Education,Other Research-Related,2021.0,AR,717210.2524271845
265,Research Institutes,Other Research-Related,2021.0,AR,420750.0
266,Domestic Higher Education,RPGs - Non SBIR/STTR,2021.0,AR,372181.74029126216
267,None,RPGs - Non SBIR/STTR,2021.0,AR,71763.0
268,Research Institutes,RPGs - Non SBIR/STTR,2021.0,AR,1480552.4
269,None,RPGs - SBIR/STTR,2021.0,AR,344961.77419354836
270,Domestic Higher Education,Research Centers,2021.0,AR,2106350.0
271,Research Institutes,Research Centers,2021.0,AR,1411592.5
272,Domestic Higher Education,Training - Institutional,2021.0,AR,237611.5
273,Domestic Higher Education,Other Research-Related,2012.0,AZ,298480.8787878788
274,Independent Hospitals,Other Research-Related,2012.0,AZ,89324.5
275,None,Other Research-Related,2012.0,AZ,120784.66666666667
276,Research Institutes,Other Research-Related,2012.0,AZ,1601398.0
277,Domestic Higher Education,RPGs - Non SBIR/STTR,2012.0,AZ,358233.63813229575
278,Independent Hospitals,RPGs - Non SBIR/STTR,2012.0,AZ,290508.5
279,None,RPGs - Non SBIR/STTR,2012.0,AZ,500792.4347826087
280,Research Institutes,RPGs - Non SBIR/STTR,2012.0,AZ,3908912.5555555555
281,None,RPGs - SBIR/STTR,2012.0,AZ,327902.4
282,Research Institutes,RPGs - SBIR/STTR,2012.0,AZ,196445.0
283,Domestic Higher Education,Research Centers,2012.0,AZ,936474.7727272727
284,Research Institutes,Research Centers,2012.0,AZ,1461758.0
285,Domestic Higher Education,Training - Individual,2012.0,AZ,41421.5
286,Independent Hospitals,Training - Individual,2012.0,AZ,42232.0
287,Domestic Higher Education,Training - Institutional,2012.0,AZ,282690.86666666664
288,Domestic Higher Education,Other Research-Related,2013.0,AZ,258755.94871794872
289,Independent Hospitals,Other Research-Related,2013.0,AZ,81313.5
290,None,Other Research-Related,2013.0,AZ,179122.66666666666
291,Research Institutes,Other Research-Related,2013.0,AZ,1488864.0
292,Domestic Higher Education,RPGs - Non SBIR/STTR,2013.0,AZ,341950.9362549801
293,Independent Hospitals,RPGs - Non SBIR/STTR,2013.0,AZ,274802.3333333333
294,None,RPGs - Non SBIR/STTR,2013.0,AZ,442632.05970149254
295,Research Institutes,RPGs - Non SBIR/STTR,2013.0,AZ,13606470.4
296,None,RPGs - SBIR/STTR,2013.0,AZ,407187.9117647059
297,Domestic Higher Education,Research Centers,2013.0,AZ,1086976.8
298,Research Institutes,Research Centers,2013.0,AZ,1356753.0
299,Domestic Higher Education,Training - Individual,2013.0,AZ,41982.083333333336
300,Independent Hospitals,Training - Individual,2013.0,AZ,42232.0
301,Domestic Higher Education,Training - Institutional,2013.0,AZ,290341.3
302,Domestic Higher Education,Other Research-Related,2014.0,AZ,322108.7272727273
303,Independent Hospitals,Other Research-Related,2014.0,AZ,198310.5
304,None,Other Research-Related,2014.0,AZ,1109684.3333333333
305,Domestic Higher Education,RPGs - Non SBIR/STTR,2014.0,AZ,365045.5864978903
306,Independent Hospitals,RPGs - Non SBIR/STTR,2014.0,AZ,361255.0
307,None,RPGs - Non SBIR/STTR,2014.0,AZ,473999.9705882353
308,Research Institutes,RPGs - Non SBIR/STTR,2014.0,AZ,943504.0
309,None,RPGs - SBIR/STTR,2014.0,AZ,351674.15555555554
310,Domestic Higher Education,Research Centers,2014.0,AZ,1048598.0714285714
311,None,Research Centers,2014.0,AZ,753116.0
312,Domestic Higher Education,Training - Individual,2014.0,AZ,40795.0
313,Independent Hospitals,Training - Individual,2014.0,AZ,42676.0
314,None,Training - Individual,2014.0,AZ,41376.0
315,Domestic Higher Education,Training - Institutional,2014.0,AZ,305751.45454545453
316,Domestic Higher Education,Other Research-Related,2015.0,AZ,244388.88235294117
317,None,Other Research-Related,2015.0,AZ,773229.3333333334
318,Domestic Higher Education,RPGs - Non SBIR/STTR,2015.0,AZ,369766.1285140562
319,Independent Hospitals,RPGs - Non SBIR/STTR,2015.0,AZ,660482.3333333334
320,None,RPGs - Non SBIR/STTR,2015.0,AZ,413623.5970149254
321,Research Institutes,RPGs - Non SBIR/STTR,2015.0,AZ,964188.5
322,None,RPGs - SBIR/STTR,2015.0,AZ,313609.96153846156
323,Domestic Higher Education,Research Centers,2015.0,AZ,989670.8181818182
324,None,Research Centers,2015.0,AZ,1552149.6
325,Domestic Higher Education,Training - Individual,2015.0,AZ,40106.0
326,None,Training - Individual,2015.0,AZ,41820.0
327,Domestic Higher Education,Training - Institutional,2015.0,AZ,294054.3333333333
328,Domestic Higher Education,Other Research-Related,2016.0,AZ,258798.40740740742
329,Domestic Higher Education,RPGs - Non SBIR/STTR,2016.0,AZ,424084.4222222222
330,Independent Hospitals,RPGs - Non SBIR/STTR,2016.0,AZ,549148.6666666666
331,None,RPGs - Non SBIR/STTR,2016.0,AZ,421582.3703703704
332,Research Institutes,RPGs - Non SBIR/STTR,2016.0,AZ,1154468.0
333,None,RPGs - SBIR/STTR,2016.0,AZ,399188.5483870968
334,Domestic Higher Education,Research Centers,2016.0,AZ,1064191.357142857
335,None,Research Centers,2016.0,AZ,2161999.0
336,Domestic Higher Education,Training - Individual,2016.0,AZ,38595.0
337,Independent Hospitals,Training - Individual,2016.0,AZ,66354.0
338,Domestic Higher Education,Training - Institutional,2016.0,AZ,286043.14285714284
339,Domestic Higher Education,Other Research-Related,2017.0,AZ,244360.6
340,Independent Hospitals,Other Research-Related,2017.0,AZ,100991.0
341,None,Other Research-Related,2017.0,AZ,745995.0
342,Domestic Higher Education,RPGs - Non SBIR/STTR,2017.0,AZ,442583.68076923076
343,Independent Hospitals,RPGs - Non SBIR/STTR,2017.0,AZ,405624.7
344,None,RPGs - Non SBIR/STTR,2017.0,AZ,615953.85
345,Research Institutes,RPGs - Non SBIR/STTR,2017.0,AZ,2278734.0
346,None,RPGs - SBIR/STTR,2017.0,AZ,607937.0
347,Domestic Higher Education,Research Centers,2017.0,AZ,1532662.8333333333
348,None,Research Centers,2017.0,AZ,2384140.0
349,Domestic Higher Education,Training - Individual,2017.0,AZ,44497.8
350,Independent Hospitals,Training - Individual,2017.0,AZ,67410.0
351,Domestic Higher Education,Training - Institutional,2017.0,AZ,240904.8
352,Domestic Higher Education,Other,2018.0,AZ,12000000.0
353,Domestic Higher Education,Other Research-Related,2018.0,AZ,229335.8
354,Independent Hospitals,Other Research-Related,2018.0,AZ,219762.0
355,None,Other Research-Related,2018.0,AZ,302960.45454545453
356,Domestic Higher Education,RPGs - Non SBIR/STTR,2018.0,AZ,437170.87925696594
357,Independent Hospitals,RPGs - Non SBIR/STTR,2018.0,AZ,544674.4
358,None,RPGs - Non SBIR/STTR,2018.0,AZ,1203428.6153846155
359,Research Institutes,RPGs - Non SBIR/STTR,2018.0,AZ,1317155.5
360,None,RPGs - SBIR/STTR,2018.0,AZ,467850.09375
361,Domestic Higher Education,Research Centers,2018.0,AZ,1137210.25
362,None,Research Centers,2018.0,AZ,2538499.0
363,Domestic Higher Education,Training - Individual,2018.0,AZ,45302.6
364,Domestic Higher Education,Training - Institutional,2018.0,AZ,305668.5833333333
365,Domestic Higher Education,Construction,2019.0,AZ,5045665.0
366,Domestic Higher Education,Other,2019.0,AZ,7999587.5
367,Domestic Higher Education,Other Research-Related,2019.0,AZ,230047.47222222222
368,Independent Hospitals,Other Research-Related,2019.0,AZ,220733.0
369,None,Other Research-Related,2019.0,AZ,325151.2727272727
370,Domestic Higher Education,RPGs - Non SBIR/STTR,2019.0,AZ,447884.1319018405
371,Independent Hospitals,RPGs - Non SBIR/STTR,2019.0,AZ,522160.36363636365
372,None,RPGs - Non SBIR/STTR,2019.0,AZ,597110.8139534884
373,Research Institutes,RPGs - Non SBIR/STTR,2019.0,AZ,117147.0
374,None,RPGs - SBIR/STTR,2019.0,AZ,406405.4761904762
375,Domestic Higher Education,Research Centers,2019.0,AZ,1392474.875
376,None,Research Centers,2019.0,AZ,1715908.5
377,Domestic Higher Education,Training - Individual,2019.0,AZ,48430.2
378,Domestic Higher Education,Training - Institutional,2019.0,AZ,358796.0
379,Domestic Higher Education,Other,2020.0,AZ,12000000.0
380,Domestic Higher Education,Other Research-Related,2020.0,AZ,333120.1621621622
381,Independent Hospitals,Other Research-Related,2020.0,AZ,220423.0
382,None,Other Research-Related,2020.0,AZ,274289.46428571426
383,Domestic Higher Education,RPGs - Non SBIR/STTR,2020.0,AZ,474593.0707964602
384,Independent Hospitals,RPGs - Non SBIR/STTR,2020.0,AZ,693196.2777777778
385,None,RPGs - Non SBIR/STTR,2020.0,AZ,771526.2903225806
386,Research Institutes,RPGs - Non SBIR/STTR,2020.0,AZ,106147.0
387,None,RPGs - SBIR/STTR,2020.0,AZ,397606.25581395347
388,Domestic Higher Education,Research Centers,2020.0,AZ,1111689.72
389,None,Research Centers,2020.0,AZ,1054898.0
390,Domestic Higher Education,Training - Individual,2020.0,AZ,44442.125
391,Domestic Higher Education,Training - Institutional,2020.0,AZ,315325.8461538461
392,Domestic Higher Education,Other,2021.0,AZ,6510455.0
393,Domestic Higher Education,Other Research-Related,2021.0,AZ,339553.0833333333
394,Independent Hospitals,Other Research-Related,2021.0,AZ,256598.0
395,None,Other Research-Related,2021.0,AZ,512220.28571428574
396,Domestic Higher Education,RPGs - Non SBIR/STTR,2021.0,AZ,532861.5951661632
397,Independent Hospitals,RPGs - Non SBIR/STTR,2021.0,AZ,575382.0555555555
398,None,RPGs - Non SBIR/STTR,2021.0,AZ,1041852.8115942029
399,None,RPGs - SBIR/STTR,2021.0,AZ,687071.5238095238
400,Domestic Higher Education,Research Centers,2021.0,AZ,1320429.4
401,None,Research Centers,2021.0,AZ,1052209.6666666667
402,Domestic Higher Education,Training - Individual,2021.0,AZ,43622.454545454544
403,Independent Hospitals,Training - Individual,2021.0,AZ,65994.0
404,Domestic Higher Education,Training - Institutional,2021.0,AZ,312022.07692307694
405,Domestic Higher Education,Other,2012.0,CA,655477.6666666666
406,Domestic Higher Education,Other Research-Related,2012.0,CA,243027.9463358338
407,Independent Hospitals,Other Research-Related,2012.0,CA,155061.46666666667
408,None,Other Research-Related,2012.0,CA,668221.8622754491
