,ORGANIZATION NAME,TOTAL FUNDING,TOTAL PROJECT,TOTAL PATENT,TOTAL PUBLICATON
61,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,10739.0,2.0,0.0,0.0
62,EVERGREEN STATE COLLEGE,11500.0,2.0,0.0,1.0
63,NATIONAL PKU ALLIANCE,12000.0,1.0,0.0,0.0
64,"HEALTHY SCHOOLS NETWORK, INC.",12400.0,1.0,0.0,1.0
65,ENVIRONMENTAL MUTAGEN SOCIETY,14000.0,1.0,0.0,0.0
66,PARKINSON'S ACTION NETWORK,15000.0,1.0,0.0,0.0
67,CANCER RESEARCH AND BIOSTATISTICS (CRAB),15000.0,1.0,0.0,0.0
68,THE RYR-1 FOUNDATION,15000.0,1.0,0.0,0.0
69,"BLACKSMITH INSTITUTE, INC.",15000.0,1.0,0.0,0.0
70,"TOURETTE ASSOCIATION OF AMERICA, INC.",15000.0,1.0,0.0,0.0
71,MHAUS,15000.0,1.0,0.0,0.0
72,AMERICAN NONSMOKERS  RIGH,15750.0,1.0,0.0,0.0
73,SOCIETY FOR MUCOSAL IMMUNOLOGY,16000.0,3.0,0.0,0.0
74,SOCIETY FOR WOMEN'S HEALTH RESEARCH,16000.0,2.0,0.0,0.0
75,"WOODS AND POOLE ECONOMICS, INC.",16500.0,1.0,0.0,0.0
76,WOODS & POOLE ECONOMICS I,16500.0,1.0,0.0,0.0
77,AMERICAN NONSMOKERS' RIGHTS FOUNDATION,16550.0,1.0,0.0,0.0
78,GENEXWELL INCORPORATED,16734.0,1.0,0.0,0.0
79,ESSEN BIOSCIENCE,16800.0,1.0,0.0,0.0
80,"PARAGON BIOSERVICES, INC.",16868.0,1.0,0.0,0.0
81,COLORADO STATE DEPT/PUB HLTH & ENVIRONMT,17937.0,2.0,0.0,0.0
82,"POWERED RESEARCH, LLC",18132.0,1.0,0.0,0.0
83,MEMORIAL HERMANN HOSPITAL- TEXAS MED CTR,18883.0,1.0,0.0,0.0
84,COALITION FOR NATIONAL TRAUMA RESEARCH,19978.0,1.0,0.0,0.0
85,PROFESSIONAL AND SCIENTIFIC ASSOCIATES,20000.0,1.0,0.0,0.0
86,AMERICAN EPILEPSY SOCIETY,20000.0,2.0,0.0,0.0
87,SOCIETY ON NEUROIMMUNE PHARMACOLOGY,20000.0,2.0,0.0,1.0
88,INTERNATION ASSN/ENVIR/MUTAGEN SOCIETIES,20000.0,2.0,0.0,0.0
89,NC STATE DEPT/HLTH & HUMAN SERVICES,20000.0,1.0,0.0,0.0
90,NATIONAL ALLIANCE FOR CAREGIVING,20000.0,1.0,0.0,0.0
91,"ASSOCIATION FOR CREATINE DEFICIENCIES, INC.",20000.0,1.0,0.0,0.0
92,DYSTONIA MEDICAL RESEARCH FOUNDATION,20000.0,1.0,0.0,1.0
93,CHORDOMA FOUNDATION,20000.0,1.0,0.0,0.0
94,NATIONAL PSORIASIS FOUNDATION,20000.0,1.0,0.0,1.0
95,JOUBERT SYNDROME/RELATED DISORDERS FDN,21001.0,3.0,0.0,0.0
96,UNITED MSD FOUNDATION,21200.0,1.0,0.0,0.0
97,SOCIETY/ENVIRONMENTAL TOXICOLOGY/CHEM,21300.0,3.0,0.0,135.0
98,PATH TO IMPROVED RISK STRATIFICATION,22000.0,2.0,0.0,2.0
99,CHOLANGIOCARCINOMA FOUNDATION,22000.0,3.0,0.0,0.0
100,PHELAN-MCDERMID SYNDROME FOUNDATION,22200.0,1.0,0.0,0.0
101,NORTH AMERICAN HAIR RESEARCH SOCIETY,22500.0,2.0,0.0,0.0
102,"RIGHTCARE SOLUTIONS, LLC",22702.0,1.0,0.0,3.0
103,SPRINGFIELD COLLEGE,23186.0,1.0,0.0,1.0
104,FOCUSED ULTRASOUND SURGERY FOUNDATION,24000.0,2.0,0.0,0.0
105,"SAM TECHNOLOGY, INC.",24076.0,1.0,5.0,1.0
106,"AMYLOIDOSIS RESEARCH CONSORTIUM, INC.",24392.0,1.0,0.0,0.0
107,COLLEGE AT ONEONTA,24827.0,1.0,0.0,0.0
108,JMML FOUNDATION,25000.0,3.0,0.0,2.0
109,INTERNATIONAL SOCIETY/COMP BIOLOGY,25000.0,1.0,0.0,0.0
110,BRAIN RECOVERY PROJECT,25000.0,1.0,0.0,0.0
111,LABORATORY CORPORATION/AMERICA HOLDINGS,25000.0,1.0,0.0,0.0
112,NATIONAL OSTEOPOROSIS FOUNDATION,25000.0,1.0,0.0,1.0
113,AMERICAN SOCIETY FOR NANOMEDICINE I,25000.0,1.0,0.0,12.0
114,"IMPAQ INTERNATIONAL, LLC",25931.0,1.0,0.0,0.0
115,"BALTIMORE CITY HEALTHY START, INC.",26000.0,1.0,0.0,32.0
116,CORNELIA DE LANGE SYNDROME FOUNDATION,27000.0,4.0,0.0,0.0
117,APLASTIC ANEMIA & MDS INTERNATIONAL FDN,27500.0,3.0,0.0,1.0
118,PACHYONYCHIA CONGENITA PROJECT,27500.0,2.0,0.0,1.0
119,"FANCONI ANEMIA RESEARCH FUND, INC.",27501.0,3.0,0.0,0.0
120,PRABOROMARAJCHANOK INST/HLTH/ WORK/DEV,29160.0,1.0,0.0,0.0
121,UNIVERSITY OF VALLE,29164.0,1.0,0.0,3.0
122,SOCIETY/ENVIRON/ TOXICOLOGY/CHEMISTRY NA,29888.0,2.0,0.0,0.0
123,NEW YORK-PRESBYTERIAN HOSPITAL,29897.0,1.0,0.0,0.0
124,AMERICAN CONGRESS OF REHABILITATION MEDICINE,29988.0,1.0,0.0,0.0
125,"NEVUS OUTREACH, INC.",30000.0,1.0,0.0,1.0
126,"CURE CMD, INC.",30000.0,2.0,0.0,0.0
127,"UNITED STATES ASSOCIATION FOR THE STUDY OF PAIN, INC.",30000.0,1.0,0.0,0.0
128,NATIONAL CANCER CENTER,30000.0,2.0,0.0,0.0
129,UNIVERSITY OF NAMIBIA,30240.0,1.0,0.0,0.0
130,INSTITUTE OF ELECTRICAL-ELECTRONIC ENGRS,32000.0,2.0,0.0,0.0
131,CHLAMYDIA BASIC RESEARCH SOCIETY,33000.0,4.0,0.0,0.0
132,"AGIOS PHARMACEUTICALS, INC.",33750.0,1.0,0.0,0.0
133,PUBLIC LIBRARY OF SCIENCE,34590.0,1.0,0.0,0.0
134,"COURTESY ASSOCIATES, LLC:",35000.0,2.0,0.0,0.0
135,"AMERICA WALKS, INC.",35000.0,1.0,0.0,0.0
136,"AMERICAN SOCIOLOGICAL ASSOCIATION, INC.",35000.0,1.0,0.0,0.0
137,NATIONAL CTR/ ADVANC/TRANSLATIONAL SCIS,35000.0,1.0,0.0,0.0
138,GLOBAL GENOMIC MEDICINE COLLABORATIVE,36350.0,1.0,0.0,0.0
139,"PXE INTERNATIONAL, INC.",37000.0,2.0,0.0,1.0
140,AMERICAN PUBLIC HEALTH ASSOCIATION,37000.0,4.0,0.0,0.0
141,AFRICAN STRATEGIES /ADVANCING PATHOLOGY,38120.0,1.0,0.0,0.0
142,WHITE GLOBAL PHARMA CONSU,39000.0,1.0,0.0,0.0
143,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,40000.0,1.0,0.0,0.0
144,"FUNCTIONAL NEUROLOGICAL DISORDER SOCIETY, INC.",40000.0,1.0,0.0,0.0
145,SOCIETY FOR GYNECOLOGIC INVESTIGATION,40000.0,2.0,0.0,0.0
146,"THOMSON REUTERS (SCIENTIFIC), LLC",41747.0,2.0,0.0,0.0
147,"CERTARA USA, INC.",42000.0,2.0,0.0,0.0
148,FUNDAQUIM,42768.0,1.0,0.0,6.0
149,COMMUNITY BASED ORGANIZATION PARTNERS,43889.0,1.0,0.0,0.0
150,RADIATION RESEARCH SOCIETY,44500.0,7.0,0.0,0.0
151,UNIVERSITY OF SAN ANDRES,44712.0,2.0,0.0,0.0
152,"TRIAD INTERACTIVE, INC.",45477.0,1.0,0.0,7.0
153,ANGIOMA ALLIANCE,45525.0,4.0,0.0,0.0
154,UNIVERSITY OF LETHBRIDGE,46092.0,1.0,0.0,4.0
155,KATHMANDU MEDICAL COLLEGE PUBLIC LIMITED,47772.0,1.0,0.0,0.0
156,U.S. NATIONAL INST DIABETES/DIGST/KIDNEY,48114.0,1.0,0.0,6.0
157,"MINORITY ACCESS, INC.",48932.0,1.0,0.0,0.0
158,UNIVERSITY OF ESSEX,49300.0,1.0,0.0,4.0
159,ASSOCIATION OF AMERICAN GEOGRAPHERS,49592.0,1.0,0.0,2.0
160,ASOCIACION BENEFICA PRISMA,49680.0,1.0,0.0,1.0
161,"AMERSA, INC.",49750.0,2.0,0.0,0.0
162,"AMERICARES FOUNDATION, INC.",49900.0,1.0,0.0,0.0
163,INTERACTIVE MEDIA INSTITUTE,49984.0,2.0,0.0,0.0
164,NATIONAL LEAGUE FOR NURSING,50000.0,1.0,0.0,0.0
165,GENETICS SOCIETY OF AMERICA,50000.0,1.0,0.0,0.0
166,WHITE MEMORIAL MEDICAL CENTER,50000.0,1.0,0.0,1.0
167,"ALLIANCE OF WOUND CARE STAKEHOLDERS, INC.",50000.0,1.0,0.0,0.0
168,INSTITUTE FOR OCCUPATIONAL HLTH NAMS UK,50000.0,1.0,0.0,0.0
169,AMERICAN SEXUAL HEALTH ASSOCIATION,50000.0,1.0,0.0,0.0
170,"INST OF ENZYMOLOGY, BIOLOGICAL RES CTR",50199.0,1.0,0.0,11.0
171,INSTITUTO DE BIOLOGIA Y MED/EXPERIMENTAL,50806.0,1.0,0.0,0.0
172,"JADEN BIOSCIENCE, INC.",51356.0,1.0,0.0,0.0
173,KAMUZU COLLEGE OF NURSING,51825.0,1.0,0.0,1.0
174,INTERNATIONAL SOCIETY/ EXPOSURE ANALYSIS,52000.0,5.0,0.0,0.0
175,NATIONAL UNIVERSITY OF LA PLATA,52391.0,1.0,0.0,3.0
176,"MDB, INC.",52484.0,1.0,0.0,0.0
177,"SOCIETY FOR IMMUNOTHERAPY OF CANCER, INC.",53450.0,2.0,0.0,0.0
178,INSTITUTE FOR EXPERIMENTAL/BIOLOGY/MED,53520.0,1.0,0.0,16.0
179,"BIOCEMENT TECHNOLOGIES, INC.",53968.0,1.0,0.0,0.0
180,KOREA BRAIN RESEARCH INSTITUTE (KBRI),54000.0,1.0,0.0,0.0
181,PISTEVO DECISION LLC,54569.0,1.0,0.0,0.0
182,ROCKY MOUNTAIN VIROLOGY ASSOCIATION,54810.0,9.0,0.0,6.0
183,"AIDAR HEALTH, INC",55000.0,1.0,0.0,0.0
184,"INTERNATIONAL EOSINOPHIL SOCIETY, INC.",55500.0,4.0,0.0,0.0
185,CARON FOUNDATION,55895.0,1.0,0.0,0.0
186,"CHEMISTRY RESEARCH SOLUTION, LLC",56496.0,1.0,0.0,0.0
187,"SOUTHERN UNIVERSITY AT SHREVEPORT, LA",57133.0,1.0,0.0,0.0
188,LONG BEACH MEMORIAL MEDICAL CENTER,57561.0,2.0,0.0,3.0
189,WORLD MOLECULAR IMAGING SOCIETY,57800.0,5.0,0.0,0.0
190,EAST CENTRAL UNIVERSITY,57964.0,1.0,0.0,4.0
191,UNIVERSITY OF SCRANTON,58594.0,1.0,0.0,0.0
192,LOVELACE BIOMEDICAL & ENVIRONMENTAL RESEARCH INSTITUTE,59598.0,1.0,0.0,0.0
193,"AMERICAN SOCIETY OF PREVENTIVE ONCOLOGY, INC.",60000.0,2.0,0.0,0.0
194,"OSTEOGENESIS IMPERFECTA FOUNDATION, INC.",60000.0,2.0,0.0,0.0
195,NELSON R MANDELA SCHOOL OF MEDICINE,60600.0,1.0,0.0,17.0
196,TMJ ASSOCIATION,61000.0,2.0,0.0,1.0
197,GERMAN CANCER RESEARCH CENTER,61226.0,2.0,0.0,0.0
198,HEPATITIS B FOUNDATION,61250.0,9.0,0.0,0.0
199,AMERICAN ASSN/CHRONIC FATIGUE SYNDROME,61500.0,2.0,0.0,0.0
200,SRI RAMACHANDRA UNIVERSITY,61690.0,1.0,0.0,1.0
201,"SILAGENE, INC.",62100.0,1.0,0.0,1.0
202,SOCIETY/CARDIOVASCULAR MAGNETIC RESON,65000.0,6.0,0.0,0.0
203,"MACROCYCLICS, INC.",66134.0,1.0,0.0,0.0
204,AMERICAN SOCIETY OF HUMAN GENETICS,66772.0,2.0,0.0,0.0
205,OPTICAL SOCIETY OF AMERICA,67500.0,8.0,0.0,0.0
206,"NAVROGEN, INC.",69000.0,1.0,0.0,0.0
207,MAX DELBRUECK CENTRUM FOR MOLECULAR MED,69586.0,2.0,0.0,0.0
208,"PRIME BIO, INC.",70000.0,1.0,0.0,0.0
209,NATIONAL ALOPECIA AREATA FOUNDATION,70000.0,4.0,0.0,54.0
210,UNIVERSITY OF BUENOS AIRES,70798.0,1.0,0.0,4.0
211,WEST VIRGINIA SCHOOL OF OSTEOPATHIC MED,71500.0,1.0,0.0,0.0
212,COLBY COLLEGE,71502.0,6.0,0.0,0.0
213,MINNESOTA STATE DEPT OF HEALTH,73761.0,1.0,0.0,0.0
214,"HEALTHEWORKS, LLC",74271.0,1.0,0.0,0.0
215,FDN NATIONAL CANCER INSTITUTE (IRCCS),74950.0,2.0,0.0,0.0
216,"LEADING EDGE PHARMTOX, LLC",75000.0,3.0,0.0,0.0
217,NATIONAL INSTITUTE OF AGRICULTURE TECH,75742.0,1.0,0.0,9.0
218,METIS DESIGN CORPORATION,76099.0,1.0,0.0,0.0
219,EMPOWERING ENGINEERING TECHNOLOGIES CORP,76315.0,1.0,0.0,0.0
220,"MPOWER, LLC",76907.0,1.0,0.0,0.0
221,SOCIETY FOR ACADEMIC EMERGENCY MEDICINE,77300.0,4.0,0.0,40.0
222,SHARP HEALTHCARE FOUNDATION,77500.0,1.0,0.0,2.0
223,INSTITUTE FOR NEURODEGENERATIVE DISORDRS,78181.0,2.0,0.0,3.0
224,"ACTIVATED RESEARCH COMPANY, LLC",78518.0,1.0,0.0,0.0
225,AMERICAN SOCIETY/PARENT & ENTERAL NUTRIT,78650.0,7.0,0.0,20.0
226,UNIVERSITY OF RIJEKA--MEDICAL FACULTY,79433.0,1.0,0.0,23.0
227,"BECKLOFF ASSOCIATES, INC.",80000.0,1.0,0.0,0.0
228,DAYTOP VILLAGE,80000.0,2.0,0.0,0.0
229,"INFORMED HORIZONS, LLC",80004.0,8.0,0.0,0.0
230,"BIOPARTNERS, INC.",81600.0,1.0,0.0,0.0
231,"INTERACTIVE MEDIA LAB, INC.",81945.0,1.0,0.0,0.0
232,"BIOSPECIMEN PROCUREMENT SOLUTIONS, INC.",83000.0,1.0,0.0,0.0
233,"EXPRESSION ANALYSIS, INC.",83465.0,3.0,0.0,0.0
234,"JANUS RESEARCH GROUP, INC.",84575.0,1.0,0.0,0.0
235,"OMNICITY, INC.",85228.0,3.0,0.0,0.0
236,PLANNED PARENTHOOD-WORLD POPULATION,85436.0,4.0,0.0,0.0
237,SOCIETY FOR MUSCLE BIOLOGY,86000.0,4.0,0.0,1.0
238,SHENANDOAH UNIVERSITY,87647.0,3.0,0.0,2.0
239,"JXT APPLICATIONS, INC.",88505.0,1.0,0.0,0.0
240,INSTITUTE FOR FAMILY HEALTH,89169.0,1.0,0.0,0.0
241,"FIFTH BASE, LLC",92710.0,1.0,0.0,0.0
242,AMERICAN SOCIETY/INVESTIGATIVE PATHOLOGY,94500.0,9.0,0.0,0.0
243,"DISCOVERY LOGIC, INC.",94658.0,1.0,0.0,0.0
244,"BIOLINK LIFE SCIENCES, INC.",94935.0,1.0,0.0,0.0
245,DONNA L ROMERO,95350.0,5.0,0.0,0.0
246,BOROMARAJONANI COLLEGE OF NURSING KHON KAEN,95992.0,1.0,0.0,0.0
247,"CHARITE, UNIVERSITAETSMEDIZIN BERLIN",96415.0,1.0,0.0,0.0
248,AEGIS TECHNOLOGY GROUP,96963.0,1.0,0.0,0.0
249,UNIVERSITY OF LINCOLN,97326.0,2.0,0.0,0.0
250,"ENVIROFIT INTERNATIONAL, LLC",97449.0,1.0,0.0,0.0
251,NEWARK BETH ISRAEL MEDICAL CENTER,97881.0,1.0,0.0,2.0
252,SUN YAT-SEN UNIVERSITY,97992.0,2.0,0.0,3.0
253,"RADIATION EMERGENCY SERVICES, LLC",98220.0,1.0,0.0,0.0
254,UNIVERSITY OF THE VALLEY OF GUATEMALA,99019.0,1.0,0.0,0.0
255,SCOUT DIAGNOSTICS,99090.0,1.0,0.0,1.0
256,"ANGIOMICS, INC.",99509.0,1.0,0.0,0.0
257,COLLEGE OF ST SCHOLASTICA,99604.0,2.0,0.0,1.0
258,WHITE BRIAR CORPORATION,99672.0,1.0,0.0,1.0
259,"CERVOCHECK, LLC",99718.0,1.0,0.0,2.0
260,"MIND SET TECHNOLOGIES, INC.",99730.0,1.0,0.0,0.0
261,"YANTRIC, INC.",99868.0,1.0,0.0,0.0
262,WORLD 2 SYSTEMS,99926.0,1.0,0.0,0.0
263,"CHROMOSENSE, LLC",100000.0,1.0,0.0,0.0
264,SYMBION RESEARCH INTERNATIONAL,100000.0,1.0,0.0,0.0
265,AMERICAN MEDICAL INFORMATICS ASSN,100000.0,5.0,0.0,0.0
266,"BIOFORMATIX, INC.",100578.0,1.0,0.0,0.0
267,"HEALTH RESEARCH, INC.",100625.0,1.0,0.0,0.0
268,INTERNATIONAL SOCIETY/EXPER HEMATOLOGY,103500.0,9.0,0.0,0.0
269,"WEST FACE MEDICAL DEVICES, INC.",104112.0,2.0,0.0,0.0
270,ZHEJIANG UNIVERSITY,104247.0,2.0,0.0,9.0
271,"IMAGING BIOMETRICS, LLC",105081.0,1.0,0.0,1.0
272,"CHEMINPHARMA, LLC",105311.0,2.0,0.0,3.0
273,LEONARD CHESHIRE DISABILITY,105604.0,3.0,0.0,0.0
274,CENTRAL INSTITUTE FOR TUBERCULOSIS,105850.0,1.0,0.0,3.0
275,MEDICAL RES COUNCIL LAB OF MOLEC BIOL,106132.0,4.0,0.0,2.0
276,"JUNCO LABS, LLC",106732.0,1.0,0.0,0.0
277,"STELLA THERAPEUTICS, INC.",107283.0,1.0,0.0,0.0
278,"PARALLEL SYNTHESIS TECHNOLOGIES, INC.",107303.0,1.0,0.0,0.0
279,CHONGQING NORMAL UNIVERSITY,108000.0,1.0,0.0,6.0
280,UNIST,108000.0,2.0,0.0,0.0
281,"INSTITUTE OF ADVANCED SCIENCES, INC.",110000.0,2.0,0.0,1.0
282,RASOPATHIES NETWORK USA,110000.0,4.0,0.0,3.0
283,FOUNDATION FOR WORKER/VETERAN/ENVIR/HLTH,110000.0,2.0,0.0,0.0
284,"ASTERAND, INC.",110235.0,1.0,0.0,0.0
285,VAXIN INC.,110701.0,1.0,0.0,0.0
286,TERATOLOGY SOCIETY,112000.0,11.0,0.0,0.0
287,"AMERICAN ASSOCIATION FOR DENTAL, ORAL, AND CRANIOFACIAL RESEARCH",112213.0,2.0,0.0,0.0
288,STATE SERUM INSTITUTE,113400.0,1.0,0.0,3.0
289,"RICE INSTITUTE, INC.",114547.0,2.0,0.0,2.0
290,"METABOLON, INC.",114800.0,1.0,0.0,0.0
291,"ADAPTIVEPHARMA, LLC",115430.0,1.0,0.0,0.0
292,CHILDREN'S TUMOR FOUNDATION,115500.0,7.0,0.0,5.0
293,"LKC TECHNOLOGIES, INC.",116500.0,1.0,3.0,1.0
294,"KS MANUFACTURING, INC.",116760.0,1.0,0.0,0.0
295,ISTITUTO PASTEUR ITALIA FONDAZIONE CENCI BOLOGNETTI,117072.0,1.0,0.0,0.0
296,TUBEROUS SCLEROSIS ALLIANCE,118393.0,4.0,0.0,0.0
297,UNIVERSITY TEACHING HOSPITAL,118428.0,3.0,0.0,0.0
298,"WHITE GLOBAL PHARMA CONSULTANTS, LLC",118600.0,4.0,0.0,0.0
299,BARTH SYNDROME FOUNDATION,119000.0,5.0,0.0,0.0
300,ISTITUTO SUPERIORE DI SANITA,119532.0,2.0,0.0,0.0
301,CHALMERS UNIVERSITY OF TECHNOLOGY,120662.0,4.0,0.0,5.0
302,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,120812.0,4.0,0.0,4.0
303,"APPLIED BIOCODE, INC.",120923.0,1.0,0.0,0.0
304,"ADAPTIVE SENSORY TECHNOLOGY, LLC",121072.0,1.0,0.0,0.0
305,"CONDAX, LLC",121514.0,1.0,0.0,0.0
306,"ESCAZYME BIOCHEMICALS, LLC",121978.0,1.0,0.0,0.0
307,UNIVERSITY OF COSTA RICA,121988.0,3.0,0.0,2.0
308,MARYMOUNT UNIVERSITY,123177.0,2.0,0.0,1.0
309,CHEMIMAGE CORPORATION,123500.0,1.0,0.0,0.0
310,THE INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL,123602.0,1.0,0.0,0.0
311,"ENDOSHAPE, INC.",123646.0,1.0,0.0,0.0
312,"ELEVATE ORAL CARE, LLC",123961.0,1.0,0.0,0.0
313,"WORLD PARKINSON COALITION, INC.",124500.0,2.0,0.0,0.0
314,NORWICH UNIVERSITY,125294.0,1.0,0.0,0.0
315,"CONSERVOCARE, LLC",125374.0,1.0,0.0,0.0
316,ENVIRONMENTAL MUTAGENESIS/GENOMICS SOC,125500.0,11.0,0.0,0.0
317,NORTHEASTERN STATE UNIVERSITY,126804.0,2.0,0.0,1.0
318,HUSSON UNIVERSITY,127652.0,2.0,0.0,0.0
319,UBATEC S.A.,127728.0,1.0,0.0,0.0
320,"PRECISION NEUROSCOPICS, INC",127763.0,1.0,0.0,0.0
321,BEATSON INSTITUTE FOR CANCER RESEARCH,128520.0,1.0,0.0,0.0
322,"RESPONSE APPLICATIONS, LLC",129565.0,1.0,0.0,0.0
323,"TURNER INNOVATIONS, LC",129759.0,1.0,0.0,0.0
324,HADASSAH-HEBREW UNIVERSITY MEDICAL CTR,130015.0,1.0,0.0,0.0
325,"IDEXX LABORATORIES, INC.",130146.0,1.0,0.0,0.0
326,KELLY SERVICES INC,130687.0,2.0,0.0,0.0
327,MADONNA REHABILITATION HOSPITAL,130778.0,2.0,0.0,1.0
328,AMERICAN SOCIETY OF GENE & CELL THERAPY,132000.0,10.0,0.0,5.0
329,"SARVER AND ASSOCIATES, INC.",132355.0,1.0,0.0,0.0
330,"CLARIAN HEALTH PARTNERS, INC.",132638.0,2.0,0.0,0.0
331,"PEDIATRIC DERMATOLOGY RESEARCH ALLIANCE, INC",132665.0,2.0,0.0,0.0
332,"TRILINK BIOTECHNOLOGIES, INC.",132803.0,1.0,8.0,1.0
333,"THERMOSOLV, LLC",133111.0,1.0,0.0,0.0
334,NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,134168.0,1.0,0.0,0.0
335,IWK HEALTH CENTRE,134299.0,1.0,0.0,0.0
336,"TEMPUS HEALTH, INC.",135000.0,1.0,0.0,0.0
